Time,STREAMLIT_RUN_ZONE::Des Heat Load [W],STREAMLIT_RUN_ZONE:ATLANTA_SUMMER_DESIGN_DAY:Des Sens Cool Load [W],STREAMLIT_RUN_ZONE::Des Heat Mass Flow [kg/s],STREAMLIT_RUN_ZONE:ATLANTA_SUMMER_DESIGN_DAY:Des Cool Mass Flow [kg/s],STREAMLIT_RUN_ZONE::Des Latent Heat Load [W],STREAMLIT_RUN_ZONE::Des Latent Cool Load [W],STREAMLIT_RUN_ZONE::Des Latent Heat Mass Flow [kg/s],STREAMLIT_RUN_ZONE::Des Latent Cool Mass Flow [kg/s],STREAMLIT_RUN_ZONE::Des Heat Load No DOAS [W],STREAMLIT_RUN_ZONE::Des Sens Cool Load No DOAS [W],STREAMLIT_RUN_ZONE::Des Latent Heat Load No DOAS [W],STREAMLIT_RUN_ZONE::Des Latent Cool Load No DOAS [W],STREAMLIT_RUN_ZONE::Heating Zone Temperature [C],STREAMLIT_RUN_ZONE::Heating Zone Relative Humidity [%],STREAMLIT_RUN_ZONE:ATLANTA_SUMMER_DESIGN_DAY:Cooling Zone Temperature [C],STREAMLIT_RUN_ZONE:ATLANTA_SUMMER_DESIGN_DAY:Cooling Zone Relative Humidity [%]
07:30:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.646862E+01,3.499073E+01
07:45:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.613979E+01,3.567653E+01
08:00:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.582678E+01,3.634346E+01
08:15:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.556576E+01,3.691037E+01
08:30:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.534667E+01,3.739391E+01
08:45:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.507817E+01,3.799630E+01
09:00:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.482451E+01,3.857546E+01
09:15:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.458039E+01,3.914225E+01
09:30:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.435033E+01,3.968498E+01
09:45:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.413731E+01,4.019512E+01
10:00:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.394265E+01,4.066775E+01
10:15:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.376427E+01,4.110635E+01
10:30:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.360041E+01,4.151396E+01
10:45:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.344938E+01,4.189368E+01
11:00:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.331050E+01,4.224633E+01
